Food_ID,Name,C_Type,Veg_Non,Describe,image_urls
60,caramelized sesame smoked almonds,Snack,veg,red lentils or masoor dal (half-boiled); potato (grated); carrot; french beans; bread slices; ground chickpea flour (sattu); green chillies; ginger; onions; garlic (minced); salt; sugar; chaat masala; red chilli powder; garam masala; corn flour; besan; bread crumbs for crunchyness; coriander; refined oil (for fryingp),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbMQrX2BIYIjUCr6bSpbiD1K1D4Iftbzn9T3-xOCC_XwVbn5sHydG1wzSYpw&s
75,detox haldi tea,Beverage,veg,haldi; ginger; black pepper; honey; water,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTRaulPyJloETNKJfQ4t9Rhg0M1UZMV_-JtYDDrOml3lK2MLnsroaRzbErUA&s
77,grilled lemon margarita,Beverage,veg,vanilla infused tequila; vanilla liqueur; lemon juice; lemon; lemon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqbhjn94vuFXhaIzxZl5x7FRA8KpBuZId4HZNY2We7D1IVXRljbtCF3T7DDg&s
84,filter coffee,Beverage,veg,Coffee powder; water; milk; sugar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbe7fso827j-WmSFToeNSLAHO4hIC5ealXcErdZ6y0X7PofqnOB5g-lzc2sA&s
88,peri peri chicken satay,Snack,non-veg,boneless skinless chicken thigh (trimmed); salt and pepper; yogurt; chilli powder; ginger garlic paste; coriander leaves; oil to fry; peri peri sauce; potato fries,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYHav9X0ciicO9Rrd7TpTcVsc7DVV1CAygWZj8113ksYoxy01J0YGN6J6nIA&s
91,chicken biryani,Indian,non-veg,malabar peppercorn; cinnamon stick; green cardamom pods; star anise; cloves; fennel seeds; vermicelli; desi ghee; shahi jeera; bay leaves; green chilli; mint leaves; onion; saffron; garlic paste; salt; chicken (dark meat); ginger paste; turmeric powder; coriander powder; red chilli powder; roma tomatoes (de-seedeed); water,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtsVvwuq8gMwCHSt99rODiVenB8SPyC7NyLNt1xwDroRr2KspDzQdPJyJFt28&s
93,buldak (hot and spicy chicken),Japanese,non-veg,chicken drum sticks/ chicken breast; soy sauce; sugar; traditional corn syrup (substitution honey); cheong ju (clear rice wine similar to japanese sake); green onion; black pepper; olive oil; sesame seeds (optional); for marinating sauce:; gochugaru (red chili pepper flakes); alapenos; korean pear (substitution asian pear); onion; garlic; soy sauce; spicy yellow mustard; sesame oil; sugar; mul yut (substitution honey),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCGfqLy5Hj3a_qpf8PwiP4pvGmCqAvefH5mN8HcZaiwVv-xvWf27pswP_RFOk&s
99,spicy chicken masala,Indian,non-veg,mustard oil; curry leaves; kalonjee; saunf; garlic; onion; tomatoes; ginger; green chillies; boneless chicken; salt; tomato puree; red chilli powder; cumin powder; black salt; peppercorn (crushed); water; mint; coriander,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCoN1NqJ7lICiQ1gqeJb2jvgMVZABla4gZxVNSVihAjPDLlHnLcsRhhS23jw&s
104,chilli chicken,Chinese,non-veg,boneless chicken; salt; cornflour; black pepper; egg; soy sauce; red chilli sauce; garlic; green chillies; green chilli sauce; vinegar; onion; capsicum; black pepper; salt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWs7kzu2gKX6yBFN7YT3nLxKxPyGsyelm-1Lgi0jBsmVf4bFW7iYNHaX4xGRc&s
105,chicken tenders,Snack,non-veg,chicken breast (cut into strips); salt; garlic paste; ginger paste; green chilli paste; oats; refined flour; salt; freshly ground black pepper; fried mixed herbs (italian herb); garlic powder,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0uU8EPefa4-fpW-IwdcmWvpUHMYZ_fNnaCHYL4dBTp7TAHGRhUs6YKYFNYng&s
110,chicken and mushroom lasagna,Italian,non-veg,chicken; salt; crush black pepper; garlic cloves (minced); olive oil; fresh thyme; button mushroom; onion; low fat milk; basil; basil-tomato sauce,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcydcH06_w9PPnzBWej6vt94Cr-6bVwFPiL2ChG5MUukbr7EwSuDT3jmk9WQ&s
112,chicken roulade,French,non-veg,chicken breasts; olives; jalapenos; bell peppers(all 3); thyme dried; white wine; salt; black pepper (crushed to taste); egg; olive oil; mozerella cheese; processed cheese,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt5nphLgzI9QuOgtxY1tnAHXx9CCdYPIhqGpi1b9xMCu9cbo4sw1JdmCpZ7lU&s
130,chicken shami kebab,Indian,non-veg,oil; cumin seeds; cloves; black peppercorns; cinnamon; coriander seeds; ajwain; red chilli whole; chilli flakes; boneless chicken; salt; water; ginger; green chilli; garlic; coriander leaves ; mint leaves ; egg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJwSSOhyqdtdIv580_en2wXJoGNPrkPjqllEWBVJVtSJW2confM8hKSMRI57U&s
154,fish with white sauce,Italian,non-veg,Fillet fish; oil; milk; flour; butter; salt; ground black pepper,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAYVZIi0reeqrwGXEijQGuCfpiKONlNiUIhZmvKLp_sOe_Hymgtj0zYP61aw&s
157,chettinad fish fry,Indian,non-veg,Surmai fish; oil; garlic buds; ginger (mash); cumin; fennel; whole coriander; black pepper; mustard seeds; curry leaves; salt; oil; water; tomatoes; red pepper powder; turmeric powder; tamarind pulp; cornflour; lemon pieces of,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEEDcVdFneuTGBoynAl0RVP1ANAs-RucPMR4rdBpc89v5q-46BLgU7qKnPHA&s
161,spanish fish fry,Mexican,non-veg,Sol fish; tomato; onion; lemon juice; olive oil; ginger and garlic paste; bay leaves; cinnamon stick; green chillies; vinegar; salt; water,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgLpzjU_B-qA1G4w9PfbrAI4LuFw1DO5Svh_8RlAIRBVrV7pG9sp9naKunx1c&s
164,green cucumber shots,Healthy Food,veg,english cucumbers; garlic cloves (smashed); romaine lettuce; basil; parsley; cilantro; big lemon; sea salt; olive oil,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjecuNxMD_U3NdK2frspgbV3AmiDdbW0nTWGzR7eN3vb49IAJoQuVmWrEzftU&s
167,veg fried rice,Chinese,veg,oil; ginger-garlic paste; spring onion; carrot; cabbage; capsicum; salt; soy sauce; vinegar; rice,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHSsKV8mUZz-OTCHBDFHutBtoKFPbhLpT2sRD5B0CQrsL_Jl_87P8KJy2Ahg&s
175,chicken paella,Mexican,non-veg,chicken; oil; salt and pepper; paprika powder; chilli flakes; garlic paste; onions; bell peppers; rice; vegetable stock; saffron; peas; olives; parsley; white wine,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCcS3PYbZsIdk0QvnJqV-4hFfpEPsayHT2wYNyelI1h0bFgFMS7nd58QQeBj8&s
177,vegetable pulao,Indian,veg,water; basmati rice; ghee; paneer (cooked); carrot; beans; peas; elaichi; cardamoms; cinnamon; bay leaves; cumin seeds; chilli powder; turmeric; salt; coriander leaves,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROsIzp_-94RlwGUT0zQxcAkrQkHKVCNJdoiCbLZ0JP8i9nafGtN2XCTZKNKDg&s
184,vegetable bruschetta,Italian,veg,baguette (grilled slices); black olive tapenade; artichoke hearts; lettuce arugula (trummed); tomato confit; fresh basil leaves; mint leaves; zucchini; goat cheese; parmesan cheese shavings; mozzarella buffalo cheese,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbyK7Q7AAEfm4bGUwNEEqZSWBcoPLrlTudh4VgR427XT9ox_ITBMp_D3d5dQ&s
194,egg and cheddar cheese sandwich,Mexican,non-veg,egg; salt; pepper; ham slices; basil leaves,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkQ-Mi9h18zXW-pou9ghAd3NZnaHF6oahUQEUGM8mvBAkPJG8dAjOA93ozwQ&s
195,egg in a blanket,French,non-veg,eggs; brown bread slices; butter; chilli flakes; oregano; salt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwcht2BKKq28VSZFDQDPAmrI6C-3cEPOKk6z4JJjFEP04n7zQBL3RU9fbyUA&s
200,kaju katli,Dessert,veg,cashew nuts; sugar; water; milk chocolate or dark chocolate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwOquXMpq4TYxb2BzOcuJdBzb5lYq2L4VayF39J5zdYztn9tF2k_DMX8Ij1QU&s
215,mixed vegetable soup,Healthy Food,veg,Mix vegetable (tomatoes; carrots; peas and French beans); salt; cumin powder; oil; curry leaves,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQF3paHeYIrtPJfTjOOhiNcY-io2NQ9HPRjqosuynCb4qOaOgl48Jwx6pAh5Q&s
229,chocolate lava cake,Dessert,veg,dark chocolate; butter; icing sugar; egg yolks + whole eggs; flour,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTy6RJAOAMm5FOe8s5RWdObamXErLOygyMT_YZCuuKfz9zo8jnfPxxfxFr8j1o&s
239,gulab jamun,Dessert,veg,sugar; water; milk; cardamom seeds; saffron; cardamom powder; khoya; baking soda; maida; milk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLJwGxJeZ5Xn5I9CGfPR5X35LME408cRTEleKqFhsrhfkZYr5H8LlImVdu-w&s
243,assorted rice kheer sushi,Japanese,veg,basmati rice; milk; sugar; pistachio; almonds; green cardamoms(powdered); saffron; rose water; rose petals (dried); dark chocolate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXSr9PgcbDtQaSq6fQiLr_BQKi5YeGw5rdIL0Xi7kNBAW-B3zBpXaGEfAwPVE&s
246,dry fruit cake,Dessert,veg,butter (at room temperature); dark brown sugar; eggs; flour; salt; all spice powder; cinnamon; nutmeg; currants; golden raisins; dark raisins (each); soft dried figs; dates (pitted); prunes (stoned dried); apricots (dried); almonds (chopped); brandy; instant espresso (mixed with 1 tbsp water),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9vreti-eVBsPN8jKPoBAIez_FQa_V5Qt4y-Yt2az7-6vuu_gULdJaF3ODyw&s
249,vegetable manchurian,Chinese,veg,mixed vegetables - chopped fine or grated; eggs (slightly beaten); refined flour; garlic paste; ginger paste; water; oil ; garlic ; onions ; capsicum; cornflour (blended with water); vinegar; salt; soya sauce; tomato puree; celery; ajinomoto (optional); water,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMqeRrLMVdJvdfALDVFmJrVhKHLjLeyF_I4Tk3YXb6nQRjM3wOVgHQcpn3zAE&s
268,baked wild berry cheesecake,Dessert,veg,butter; digestive biscuits; berries; cream cheese; castor sugar; vanilla extract; egg (lightly beaten); icing sugar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMYSNEQB7bgE75ui4qL4EEVwMMc3AiCXwnjKncVPTZTqjOcxG4dx9Om9o7JA&s
275,mexican pizza,Mexican,veg,Dough tortia; refried beans; bell paper; spring onion; lettuce; mozzarella cheese; orange cheddar cheese; chitpole dressing; for pico de chelo; tomato; onion; lemon juice; salt; green chilli; coriander; black beans (boiled ); Tomato; onion; vine paper; vegetable oil,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEkfXAOI-9uCBwJDQ5INajIj_0N1D8ebKFVDTuLKaA-g0LSL9hqJatarrIFH8&s
282,fruit cube salad,Healthy Food,veg,watermelon; cantaloupe; kiwifruiit; pineapple; marshmallow; mint leaf (crushed nuts; sesame seeds or cinnamon),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIVpKlwUOFY7DXUO-QILINl9jvqk51QTT76HEwI5VzXqycPxYZko3FVUO-qw&s
283,veg hakka noodles,Chinese,veg,noodles; salt; oil; garlic paste; ginger paste; beans; cabbage; carrot; spring onion; capsicum; soy sauce; green chilli sauce; tomato sauce,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTizpDh2POT7NjwZKM6FGnn5GL1QVFJq7KrrvZLi8yTkhJSsWRwpUteUxXwxQ&s
287,pasta in cheese sauce,Italian,veg,Milk; Flour; Butter; Pepper Powder; Nutmeg; Cheese; Pasta (of your choice),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIq0567aHe_Iu90fmkdt4qEg9L8tvRBVZIfUz1zETQvxxT3MigVpAN4rwuJ5c&s
290,butter chicken,Indian,non-veg,mughalai delecacy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRewD-bGVwPdH6rn9JzEQrZPF0GyxP8qit1OmvBzt6MSC7SDUY2-PAmX93Wyg&s
293,chicken tikka masala,Indian,non-veg,chicken roasted in a yogurt tomato sauce. creamy texture.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTysSo9bO_sNT8t3kZmk3PQcZaDNgUVpeisSubv7GRrbFSu9oXDFMfLrdZ8gqU&s
346,Channa Masala,Indian,veg,chickpeas; turmeric powder; onion; ginger; garlic; curry powder,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKEHAmdg9c6sTCq9WZoeFBfCzUXLtN8kQa4u1rFG8K0A-_3ZFV1mLNIKzT9Wk&s
350,Jeera Alu,Nepalese,veg,boiled potatoes; cumin seeds; lemon juice,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh2_5qeee4Q5E1tFzUAEgwlTFosJoJjrkLhDZVXu3-awZC4tF2oDQtRaVRxQ&s
364,Garlic Naan,Indian,veg,garlic; all purpose flour; yougurt; cumin seed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRu5sMx359OvOH0HzHgdVeyHiPbGRXqoKi0RotWngkZe8KfexAS1SrinjI80Q&s
365,Egg Curry with Tomatoes and Cilantro,Indian,non-veg,boiled egg; cilantro; garlic;cucumber;tumeric powder;tomatoes;,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7fR8ewXl7WugF6N-WhmWsmbnBIoQ3mm5UchMcg2ehcE9C-irNP3638BtewQ&s
368,Prawn katsu Curry,Japanese,non-veg,prawn; rice; japanes curry sauce; bread crumbs; rice,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZuM5HVKGtrgOJ7VONyW_hUdevRgjVw50HNo9FcoJWnabo2d5nwK7te3Yxr9c&s
370,Sweet and Sour Chicken Fried Rice,Chinese,non-veg, Rice; carrot; peas; chicken; soy sauce; sugar; garlic; capcicum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSv98YqM41z0tj9GOxub4gvWGDZ8VTrYhsD2bAO8b816F5HxbeDFdnTLoquCDA&s
389,Fresh Corn Tortillas,Mexican,veg,corn tortilla mix;corn;salt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM-Hm8PinlLc-vrL4bg7PQ61-jXTpuo5Jp8cKEvommvCuIFSvbhULMM60GWA&s
